60	127	1	1	0
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
61	127	1	1	2
60	127	1	1	1
60	127	1	1	1
60	127	1	1	1
61	127	1	1	2
60	127	1	2	1
60	127	1	2	1
60	126	1	2	2
60	127	1	2	1
60	127	1	2	1
60	127	1	2	1
60	127	1	2	1
60	127	1	2	1
60	127	1	2	1
60	126	1	2	2
60	126	1	2	2
60	126	1	2	2
61	127	1	2	3
61	127	1	2	3
61	127	1	2	3
60	126	1	2	2
60	126	1	3	1
60	126	1	3	1
60	126	1	3	1
60	126	1	3	1
60	126	1	3	1
60	126	1	3	1
59	126	1	3	2
60	126	1	3	1
60	126	1	3	1
60	126	1	3	1
60	126	1	3	1
59	126	1	3	2
60	126	1	3	1
60	126	1	3	1
60	126	1	3	1
60	126	1	3	1
60	126	1	3	1
61	127	1	4	1
61	127	1	4	1
61	127	1	4	1
61	127	1	4	1
61	127	1	4	1
61	126	1	4	2
61	126	1	4	2
61	126	1	4	2
61	126	1	4	2
61	126	1	4	2
61	126	1	4	2
60	126	1	4	3
61	126	1	4	2
61	126	1	4	2
61	126	1	4	2
61	126	1	4	2
61	126	1	4	2
61	127	1	4	1
62	126	1	5	1
61	126	1	5	3
62	126	1	5	1
62	127	1	5	2
62	127	1	5	2
62	127	1	5	2
62	127	1	5	2
62	126	1	5	1
62	126	1	5	1
62	126	1	5	1
62	126	1	5	1
61	126	1	5	3
61	126	1	5	3
62	126	1	5	1
62	126	1	5	1
62	126	1	5	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
61	127	1	6	1
62	128	1	7	1
62	127	1	7	2
62	127	1	7	2
62	127	1	7	2
62	127	1	7	2
62	127	1	7	2
62	127	1	7	2
62	127	1	7	2
62	127	1	7	2
62	127	1	7	2
62	127	1	7	2
62	128	1	7	1
62	128	1	7	1
62	127	1	7	2
